strongNumber,hebWord,lang,etymComplete,etymDesc,occurences,variants,morphology,heading,entrycontent,phonemes,multiarticle,occurencesorder,nextentry,preventry
216,אוֹר,H,215+אור,vient de H215,"7461,11013,16761,19539,18,15079,19278,20222,18635,19512,19004,3,10276,18131,13618,18872,14677,10286,20227,19336,7813,5,16612,14777,11341,14601,19139,19490,17277,19628,17784,19257,8389,21242,15674,11313,14830,18646,19909,19494,19400,11798,12242,11357,19174,4,11339,12060,11159,11326,11566,16846,17524,10433,14495,19534,10384,1328,14448,19305,11311,19186,16391,15801,7052,11358,15080,10207,19502,17081,16015,11194,14784,18642,19488,10348,19506,19003,7815,8575,19199,19172,19171,15509,11085,14177,19402,17477,11003,19237,17650,9635,17839,17170,18032,6953,13617,1801,15683,18994,18875,19530,15807,19016,20048,10760,15905,15728,14446,14678,15183",,N-F,lumière(s),"1) lumière<br>  1a) lumière du jour<br>  1b) lumière des luminaires célestes (lune, étoiles)<br>  1c) crépuscule<br>  1d) lumière du jour, d'une lampe, de la vie<br>  1e) lumière de la prospérité, de l'instruction, du visage<br>  1f) l'éternel comme lumière d'Israël",ʾōr,,A00371,217,215
217,אוּר,H,215+אור,vient de H215,"10776,11066,12910,11190,10627,11130","אֻרִים, אוּר",N-M,feu,"1) flamme, lumière du feu",ʾūr,,A02920,218,216
218,אוּר,H,217+אור,même mot que H217,"298,368,21904,21264,295","אוּר, אוּר",N_N-M-P|N_N--L,Ur,"Ur = ""flamme"", "" éclat"", ""feu""<br>1) ville du sud de la Babylonie, cité des Chaldéens, centre de l'adoration de la lune, demeure du père d'Abraham, et point de départ de la migration d'Abraham vers la Mésopotamie et Canaan",ʾūr,m,A03551,219,217
219,אוֹרָה,H,216+אור,féminin de H216,"20370,10666,17525,9561,10518","אוֹרָה, אוֹרָה",N-F,herbes,1) lumière<br>2) lumière de joie et bonheur (figuré),ʾōrā,m,A03320,220,218
220,אֲוֵרָה,H,723+אורוה אריה,par transposition pour H723,23100,,N-F,étables,"1) mangeoire, stalle, étable, crèche",ʾăwērā,,A05894,221,219
221,אוּרִי,H,217+אור,vient de H217,"8781,2423,2562,21522,22396,2656,21023",,N_N-M-P,Uri,"Uri = ""ardent, lumière""<br>1) un prince de Juda, fils de Hur, utilisé par Dieu pour préparer le tabernacle<br>2) père d'un intendant de Salomon en Galaad<br>3) un portier du temps d'Esdras qui avait une épouse étrangère",ʾūrī,,A02841,222,220
222,אוּרִיאֵל,H,217+אור|410+אל,vient De H217 et H410,"21674,21993,22652,21999",,N_N-M-P,Uriel,"Uriel = ""El (Dieu) est ma lumière""<br>1) Lévite de la famille de Kehath à l'époque de David<br>2) grand-père maternel d'Abija",ʾūrīʾēl,,A03562,223,221
223,אוּרִיָּה,H,217+אור|3050+יה,vient De H217 et H3050,"12111,8201,9897,10326,12108,8183,9893,8189,21095,21243,8193,9172,8610,8180,12109,8198,8185,8219,21910,8184,9898,8203,8192,8186,8191,9892,21078,8194,8213,8187,8188,20981,8214","אוּרִיָּ֫הוּ, אוּרִיָּה",N_N-M-P,Urie,"Urie = ""l'éternel est ma lumière""<br>1) Héthien, mari de Bath-Schéba<br>2) sacrificateur qui fit un autel païen<br>3) sacrificateur qui reconstruisit le mur de Jérusalem<br>4) un prophète tué par Jojakim",ʾūriyyā,m,A01017,224,222
224,אוּרִים,H,217+אור,pluriel de H217,"7866,5820,2324,21232,20837,2926,4577",,N_N-M-T,Urim,"Urim = ""lumières""<br>1) pierres dans un sac sur le pectoral du souverain sacrificateur pour déterminer la décision de Dieu sur certaines questions<br>2) associé à Thummim",ʾūrīm,,A02860,225,223
225,אוּת,H,,une racine primaire,"996,9777,1004,1003",,V,accepter,"1) consentement, être d'accord",ʾūt,,A04005,226,224
226,אוֹת,H,225+אות,vient probablement De H225 (sens de apparaître),"1630,1779,7344,5918,10313,12555,1877,4131,4255,14,3661,2434,5883,5276,13277,6495,16318,10009,10541,5040,4120,16906,5684,2438,95,1734,4233,5110,1689,13269,5132,12894,1884,1611,219,10549,16125,7342,19106,1830,16570,11719,12267,223,218,11075,5659,409,1619,5096,5576,5228,10310,13101,16313,5213,21267,10914,11457,10026,17458,6673,16420,5852,11270,7191,5275,10342,10025,1592,10929,1632,7435,1780,1610,12268,10899",,N-F,signe(s),"1) signe, signal<br>  1a) marque distinctive, bannière<br>  1b) souvenir<br>  1c) signe miraculeux<br>2) témoignage, enseigne, étendard, miracle, preuve",ʾōt,,A00491,227,225
227,אָז,H,,démonstratif,"6034,10969,1155,15762,16700,9786,6459,11136,16011,6724,17718,18845,19137,17714,21885,326,20050,11134,1612,1922,10819,19807,22174,1478,14747,22555,18804,11058,6633,9222,11343,7659,8585,11757,9033,10499,305,8904,6638,6099,10453,9569,18244,8516,10842,9448,11312,11317,17264,7994,6429,16749,8750,17900,6200,1865,6078,19388,22467,7251,9823,11138,19253,21986,18895,6644,11311,5047,9809,16616,17704,8980,15141,19536,16199,12249,15160,14836,15950,9860,8993,11992,12220,16351,12544,3559,106,22127,4358,9668,5861,633,22891,10843,17754,5701,11760,11985,8915,15401,6907,22050,6636,1656,11986,11099,8341,22831,3566,6199,8435,1861,22560,11139,18639,1936,13624,6647,22024,8515,14834,1628,19774,1767,8074,14117,14617,6380,17178,22480,9887,21990,17391","מֵאָז, אָז",ADV,alors,"1) alors, en ce temps là<br>  1a) expressions de temps<br>     1a1) alors (passé, ou futur)<br>  1b) expressions logiques<br>     1b1) dans ce cas<br>     1b2) ainsi",ʾāz,m,A00320,228,226
228,אֲזָא,A,,dérivation inconnue,"20498,20495",,V,chauffer,"1) rendre chaud, chauffer",ʾăzāʾ,,A04660,229,227
229,אֶזְבָּ֑י,H,231+אזוב,vient probablement de H231,21906,,N_N-M-P,Ezbaï,"Ezbaï = ""humilité "", ou ""butin"", ""qui luit"" ?<br>1) père de l'un des vaillants hommes de David",ʾezbāy,,A05895,230,228
230,אַזְדָּא,A,,(araméen) dérivation incertaine,"20435,20432",,A,a échappé,1) être parti,ʾazdāʾ,,A04661,231,229
231,אֵזוֹב,H,,probablement de dérivation étrangère,"1839,4296,4308,3163,8795,15938,3116,3118,3161,3164",,N-M,hysope,1) une plante utilisée dans des buts médicinaux ou religieux,ʾēzōv,,A02358,232,230
232,אֵזוֹר,H,246+אזקים,vient de H246,"10283,11786,9460,10406,11783,11784,13384,18868,11792,11789,11788,11793",,N-M,ceinture(s),"1) vêtement de la taille, élément symbolique le plus important<br>  1a) symbole du pouvoir de Dieu sur les rois (figuré)<br>  1b) symbole de fidélité (métaphorique)",ʾēzōr,,A02022,233,231
233,אֲזַי,H,227+אז,vient probablement de H227,"17379,17380,17381",,ADV,alors,"1) alors, dans ce cas",ʾăzay,,A04025,234,232
234,אַזְכָּרָה,H,2142+זכר,vient de H2142,"3454,2865,2772,3819,2779,2765,2843",,N-F,souvenir,"1) offrande de souvenir, la portion de nourriture offerte est qui est consumée",ʾazkārā,,A02888,235,233
235,אָזַל,H,,une racine primaire,"13502,11517,5796,18914,18244,7315",,V,épuisé,"Uzal = ""va et vient"" voir aussi définition <a href=""strong-hebreu-187.html"" title=""Strong hébreu 0187"">0187</a><br>1) aller, partir, disparaître<br>  1a) être utilisé, évaporé<br>  1b) aller et venir",ʾāzal,,A03046,236,234
236,אֲזַל,A,235+אזל,(araméen) même mot que H235,"20444,20880,20592,20451,20593,20889,20896",,V,alla,"1) aller, sortir, se rendre",ʾăzal,,A02706,237,235
237,אֶזֶל,H,235+אזל,vient de H235,7666,,N_N--L,ézel,"ézel = ""séparation, départ""<br>1) pierre du souvenir entre Rama et Nob; lieu de la dernière rencontre entre David et Jonathan",ʾezel,,A07790,238,236
238,אָזַן,H,241+אוזן,une racine primaire,"103,22893,17466,1947,11405,15887,19407,17552,20234,4939,19361,15187,19373,6628,15322,11020,11797,5761,14158,14298,10704,19505,16378,17570,11194,10173,18153,10181,16358,10333,19421,4435,15979,16535,10785,21287,15972,16464,18789,17544,16559,15753",,V,prêter l'oreille,"1) entendre, écouter<br>  1a) prêter l'oreille",ʾāzan,,A00806,239,237
239,אָזַן,H,238+אזן,une racine primaire [identique à H238 par l'idée de peser ce qui est entendu],,,V,il a examiné,"1) peser, tester, prouver, considérer",ʾāzan,,A08573,240,238
240,אָזֵן,H,238+אזן,vient de H238,5515,,N-M,bagage,"1) outils, armes, bagages",ʾāzēn,,A07791,241,239
241,אֹ֫זֶן,H,238+אזן,vient de H238,"16554,2084,21418,5760,13044,11017,14978,7491,16712,22085,12372,10858,6759,11659,10886,8408,15761,19649,11184,19963,5056,10296,9969,11260,2442,15629,7366,5758,10779,12364,18332,11483,11595,7659,17711,13444,4026,18114,16239,21242,14685,12379,23160,5741,5804,11711,18329,20025,12378,11926,3140,10842,13008,7204,588,1998,7722,16378,17124,17806,1809,12103,19265,11318,17794,17416,4137,19473,10755,16796,19388,8527,7307,3137,11750,11615,12984,10086,11661,18861,15890,18401,19248,18664,21049,17466,12331,18308,19845,12141,13843,20675,7713,18946,7803,12874,22536,19468,11030,15558,22348,14412,3129,1343,15327,7323,13136,1780,12373,2941,22519,4043,15275,10050,2441,18876,7649,18273,10811,12368,504,10898,12989,10404,6378,12099,18892,585,7616,15841,12371,17786,8565,11896,2185,8018,9996,11183,5338,19408,12054,6699,1511,13966,18192,15343,3126,6758,11139,22080,21054,12531,10008,1016,2942,8120,6984,16032,16580,18242,18481,12985,15381,15805,18434,582,13394,17110,11173,16694,10583,8125,5685,2357,19380,7660,10265,12180,12354",,N-F,entendre,"1) oreille, comme partie du corps<br>2) oreille, comme organe de l'audition<br>3) (subjectif) la réception de la révélation divine",ʾōzen,,A00246,242,240
242,אֻזֵּן שֶׁאֱרָה,H,238+אזן|7609+שׁארה,vient De H238 et H7609,21755,,N_N--L,Uzzen-Sché éra,"Uzzen-Sché éra = ""l'oreille de Sché éra""<br>1) ville construite par Sché éra, fille d'Ephraïm",ʾuzzēn šeʾĕrā,,A05896,243,241
243,אַזְנוֹת תָּבוֹר,H,238+אזן|8396+תבור,vient De H238 et H8396,6357,,N_N--L,Aznoth-thabor,"Aznoth-Thabor = ""sommets du Thabor""<br>1) une paire de collines sur la frontière de Nephthali",ʾaznōt tāvōr,,A07792,244,242
244,אׇזְנִי,H,241+אוזן,vient de H241,4507,"אׇזְנִי, אׇזְנִי",N_N-M-P|N_N--PG,Ozni,"Ozni ou Oznite = ""attentif, mon oreille (entendre)""<br>1) fils de Gad<br>2) appartenant à Ozni et ses descendants",ʾoznī,m,A07793,245,243
245,אֲזַנְיָ֫הוּ,H,238+אזן|3050+יה,vient De H238 et H3050,21304,,N_N-M-P,Azania,"Azania = ""l'éternel entend""<br>1) père de Josué, un Lévite (pas Josué successeur de Moïse)",ʾăzanyāhū,,A05897,246,244
246,אֲזֵק,H,2131+זיקה זק זק,une variante pour H2131,"12458,12461",,N-M,chaînes,"1) chaînes, menottes",ʾăzēq,,A04662,247,245
247,אָזַר,H,,une racine primaire,"19593,16123,19297,9460,11190,16699,7161,19518,8560,10333,11479,15369,15376,15554,11083",,V,ceins,"1) ceinture, équipement, vêtement<br>  1a) se ceindre (métaph. : de force)<br>  1b) être ceint",ʾāzar,,A01776,248,246
248,אֶזְרוֹעַ,H,2220+זרוע זרוע זרועה זרועה,une variante pour H2220,"19332,12268",,N-F,bras,1) bras,ʾezrōʿa,,A04663,249,247
249,אֶזְרָח,H,2224+זרח,vient De H2224 (sens de pousser),"3445,3278,4183,14063,1866,3469,1836,3231,4167,3251,6037,3463,3980,4184,1865,15712,3316",,N-M,indigène(s),1) un natif (un originaire du sol)<br>  1a) homme: Israélites<br>  1b) arbre: Israël,ʾezrāḥ,,A01655,250,248
